v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
145,"$2,700 ",chicago,chicago N,1993 Toyota Camry XLE V6,NA,NA,NA,gas,NA,black,NA,automatic,sedan,0
146,"$2,800 ",chicago,chicago suburbs,2002 toyota camry Le,excellent,4 cylinders,fwd,gas,105000,silver,NA,automatic,sedan,0
147,"$1,650 ",chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,202000,NA,NA,automatic,sedan,0
148,"$3,200 ",chicago,chicago W,2011 toyota camry hybrid,good,4 cylinders,fwd,hybrid,350000,white,NA,automatic,sedan,0
149,"$3,980 ",chicago,chicago S,2001 Toyota Camry,NA,NA,NA,gas,113159,NA,NA,automatic,NA,0
150,"$1,600 ",chicago,chicago city,1998 toyota camry le,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
151,"$5,999 ",chicago,chicago city,2007 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
152,"$7,700 ",chicago,chicago city,2008 toyota camry hybrid,NA,4 cylinders,fwd,gas,65800,NA,NA,automatic,NA,0
153,$850 ,chicago,chicago suburbs,1997 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
154,"$5,300 ",chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,138000,silver,NA,automatic,sedan,0
155,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
156,"$3,950 ",chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,158000,grey,full-size,automatic,sedan,0
157,"$10,500 ",chicago,chicago W,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,62628,grey,mid-size,automatic,sedan,1
158,"$1,600 ",chicago,chicago city,1998 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
160,"$10,900 ",chicago,chicago suburbs,2007 TOYOTA CAMRY SOLARA,NA,NA,fwd,other,83804,NA,NA,automatic,convertible,1
161,"$1,500 ",chicago,chicago city,2007 toyota camry,NA,6 cylinders,fwd,gas,NA,grey,full-size,automatic,NA,0
162,"$2,950 ",chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,167000,NA,NA,automatic,NA,0
163,"$3,550 ",chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,173906,blue,mid-size,automatic,sedan,0
164,"$6,000 ",chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,102000,grey,mid-size,automatic,NA,0
165,"$2,800 ",chicago,chicago suburbs,2002 toyota camry,excellent,4 cylinders,fwd,gas,105000,silver,NA,automatic,NA,0
166,"$1,100 ",chicago,chicago city,2003 Toyota CAMRY XLE,NA,NA,NA,gas,NA,white,NA,automatic,NA,0
167,"$3,200 ",chicago,chicago city,2004 TOYOTA CAMRY LE,excellent,4 cylinders,fwd,gas,119000,white,NA,automatic,sedan,0
168,"$2,700 ",chicago,chicago W,2003 Toyota Camry,good,4 cylinders,fwd,gas,218000,grey,NA,automatic,NA,0
169,"$7,400 ",chicago,chicago suburbs,2008 toyota camry hybrid,NA,NA,NA,gas,104841,NA,NA,automatic,NA,0
170,"$3,600 ",chicago,chicago W,2004 toyota camry solara,good,6 cylinders,fwd,gas,168000,red,compact,automatic,coupe,0
171,"$9,300 ",chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,90653,green,full-size,automatic,sedan,1
172,"$4,000 ",chicago,chicago city,2007 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
173,"$1,400 ",chicago,chicago S,2000 toyota camry xle,excellent,6 cylinders,fwd,gas,167000,black,compact,automatic,sedan,0
174,"$3,200 ",chicago,chicago W,2002 toyota camry,good,6 cylinders,fwd,gas,175000,green,mid-size,automatic,sedan,0
175,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
176,"$7,500 ",chicago,chicago suburbs,2010 toyota camry le,excellent,4 cylinders,fwd,gas,NA,silver,mid-size,automatic,sedan,0
177,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
178,"$5,800 ",chicago,indiana NW,2007 Toyota Camry,good,NA,NA,gas,130000,NA,NA,automatic,NA,0
179,"$6,929 ",chicago,chicago suburbs,2003 TOYOTA CAMRY LE,NA,NA,NA,gas,65756,NA,NA,automatic,NA,0
180,"$5,999 ",chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,132572,silver,full-size,automatic,sedan,1
181,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
182,"$7,200 ",chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,113300,grey,mid-size,automatic,sedan,0
183,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
184,"$12,900 ",chicago,chicago W,2016 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,52482,black,mid-size,automatic,sedan,1
186,"$10,625 ",chicago,chicago city,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,43702,grey,NA,automatic,sedan,1
187,"$6,500 ",chicago,chicago S,2011 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
188,"$5,250 ",chicago,chicago W,2008 toyota camry,excellent,4 cylinders,fwd,gas,177000,grey,NA,automatic,sedan,0
189,"$1,900 ",chicago,chicago W,2000 toyota camry solara,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
190,$850 ,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,187000,red,full-size,automatic,sedan,0
191,"$15,490 ",chicago,chicago city,2016 Toyota Camry  LE    2016,new,4 cylinders,fwd,gas,48192,white,NA,automatic,NA,0
192,"$2,700 ",chicago,chicago N,1993 Toyota Camry XLE V6,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
193,"$2,250 ",chicago,chicago suburbs,2001 toyota camry,like new,NA,NA,gas,164000,NA,NA,automatic,NA,0
194,"$5,300 ",chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,138000,silver,NA,automatic,sedan,0
195,"$1,300 ",chicago,chicago W,1994 Toyota Camry,NA,NA,NA,gas,138000,NA,NA,automatic,NA,0
196,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
197,"$1,000 ",chicago,chicago suburbs,1995 Toyota Camry LE,fair,4 cylinders,fwd,gas,182420,NA,NA,automatic,sedan,0
198,"$2,800 ",chicago,chicago N,1997 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
199,"$2,200 ",chicago,chicago N,1993 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
200,"$8,950 ",chicago,chicago city,2012 TOYOTA CAMRY XLE,like new,4 cylinders,fwd,gas,110,blue,full-size,automatic,sedan,0
201,NA,chicago,chicago N,2011 Toyota Camry,excellent,4 cylinders,fwd,gas,109567,black,mid-size,automatic,sedan,1
202,"$5,300 ",chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,138000,silver,NA,automatic,sedan,0
203,"$8,300 ",chicago,indiana NW,2011 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
204,NA,chicago,chicago city,2004 TOYOTA CAMRY SOLARA,NA,NA,fwd,other,NA,white,NA,automatic,coupe,1
205,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,green,NA,automatic,sedan,1
206,"$4,990 ",chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,116236,grey,NA,automatic,sedan,1
207,"$6,000 ",chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,102000,grey,mid-size,automatic,NA,0
208,"$4,000 ",chicago,chicago city,2007 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
209,NA,chicago,chicago S,2011 Toyota Camry,excellent,4 cylinders,fwd,gas,NA,green,mid-size,automatic,sedan,1
210,"$1,700 ",chicago,chicago N,1998 Toyota Camry LE,good,NA,NA,gas,175626,brown,mid-size,automatic,sedan,0
211,"$7,700 ",chicago,chicago city,2008 Toyota camry,NA,NA,NA,gas,85000,NA,NA,automatic,NA,0
212,"$8,300 ",chicago,chicago city,2011 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
213,"$18,495 ",chicago,chicago S,2017 toyota camry,excellent,4 cylinders,4wd,gas,2319,NA,NA,automatic,sedan,1
